Label,ID,Latitude,Longitude
Goroka Airport,GKA,-6.081689835,145.3919983
Madang Airport,MAG,-5.207079887,145.7890015
Mount Hagen Kagamuga Airport,HGU,-5.826789856,144.2960052
Nadzab Airport,LAE,-6.569803,146.725977
Port Moresby Jacksons International Airport,POM,-9.443380356,147.2200012
Wewak International Airport,WWK,-3.583830118,143.6690063
Narsarsuaq Airport,UAK,61.16049957,-45.42599869
Godthaab / Nuuk Airport,GOH,64.19090271,-51.67810059
Kangerlussuaq Airport,SFJ,67.0122219,-50.71160316
Thule Air Base,THU,76.53119659,-68.70320129
Akureyri Airport,AEY,65.66000366,-18.0727005
Egilssta�ir Airport,EGS,65.28330231,-14.40139961
Hornafj�r�ur Airport,HFN,64.295601,-15.2272
H�sav�k Airport,HZK,65.952301,-17.426001
�safj�r�ur Airport,IFJ,66.05809784,-23.13529968
Keflavik International Airport,KEF,63.98500061,-22.60560036
Patreksfj�r�ur Airport,PFJ,65.555801,-23.965
Reykjavik Airport,RKV,64.12999725,-21.94059944
Siglufj�r�ur Airport,SIJ,66.133301,-18.9167
Vestmannaeyjar Airport,VEY,63.42430115,-20.27890015
Sault Ste Marie Airport,YAM,46.48500061,-84.50939941
St. Anthony Airport,YAY,51.39189911,-56.08309937
Tofino / Long Beach Airport,YAZ,49.079833,-125.775583
Kugaaruk Airport,YBB,68.534401,-89.808098
Baie Comeau Airport,YBC,49.13249969,-68.20439911
CFB Bagotville,YBG,48.33060074,-70.99639893
Baker Lake Airport,YBK,64.29889679,-96.07779694
Campbell River Airport,YBL,49.95080185,-125.2710037
Brandon Municipal Airport,YBR,49.91,-99.951897
Cambridge Bay Airport,YCB,69.10810089,-105.1380005
Nanaimo Airport,YCD,49.05497022,-123.8698626
Castlegar/West Kootenay Regional Airport,YCG,49.29639816,-117.6320038
Miramichi Airport,YCH,47.007801,-65.449203
Charlo Airport,YCL,47.990799,-66.330299
Kugluktuk Airport,YCO,67.816704,-115.143997
Coronation Airport,YCT,52.07500076,-111.4449997
Chilliwack Airport,YCW,49.15280151,-121.939003
Clyde River Airport,YCY,70.48609924,-68.51670074
Coral Harbour Airport,YZS,64.19329834,-83.35939789
Dawson City Airport,YDA,64.04309845,-139.128006
Burwash Airport,YDB,61.37110138,-139.0410004
Deer Lake Airport,YDF,49.21080017,-57.39139938
Dease Lake Airport,YDL,58.42219925,-130.0319977
Dauphin Barker Airport,YDN,51.10079956,-100.052002
Dawson Creek Airport,YDQ,55.74229813,-120.1829987
Edmonton International Airport,YEG,53.30970001,-113.5800018
Arviat Airport,YEK,61.09420013,-94.07080078
Estevan Airport,YEN,49.21030045,-102.9660034
Edson Airport,YET,53.57889938,-116.4649963
Eureka Airport,YEU,79.99469757,-85.81420136
Inuvik Mike Zubko Airport,YEV,68.30419922,-133.4830017
Iqaluit Airport,YFB,63.756402,-68.555801
Fredericton Airport,YFC,45.8689003,-66.53720093
Forestville Airport,YFE,48.74610138,-69.09719849
Flin Flon Airport,YFO,54.67810059,-101.6819992
Fort Resolution Airport,YFR,61.18080139,-113.6900024
Fort Simpson Airport,YFS,61.7602005,-121.2369995
Kingston Norman Rogers Airport,YGK,44.22529984,-76.59690094
La Grande Rivi�re Airport,YGL,53.62530136,-77.70420074
Gasp� (Michel-Pouliot) Airport,YGP,48.77529907,-64.47859955
Geraldton Greenstone Regional Airport,YGQ,49.77830124,-86.93939972
�les-de-la-Madeleine Airport,YGR,47.42470169,-61.77809906
Hudson Bay Airport,YHB,52.81669998,-102.310997
Dryden Regional Airport,YHD,49.831699,-92.744202
Ulukhaktok Holman Airport,YHI,70.76280212,-117.8059998
Gjoa Haven Airport,YHK,68.63559723,-95.84970093
John C. Munro Hamilton International Airport,YHM,43.17359924,-79.93499756
Montr�al / Saint-Hubert Airport,YHU,45.51750183,-73.41690063
Hay River / Merlyn Carter Airport,YHY,60.83969879,-115.7829971
Halifax / Stanfield International Airport,YHZ,44.88079834,-63.50859833
Atikokan Municipal Airport,YIB,48.77389908,-91.63860321
Pond Inlet Airport,YIO,72.6832962,-77.96669769
St Jean Airport,YJN,45.29439926,-73.28109741
Stephenville Airport,YJT,48.5442009,-58.54999924
Kamloops Airport,YKA,50.70220184,-120.4440002
Waterloo Airport,YKF,43.46080017,-80.37860107
Schefferville Airport,YKL,54.80530167,-66.80529785
Kindersley Airport,YKY,51.51750183,-109.1809998
Buttonville Municipal Airport,YKZ,43.86220169,-79.37000275
Chapleau Airport,YLD,47.81999969,-83.34670258
